epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7661,1.76451,5.85416,1.38949,0,0,0,0,1.64777,5.70964,1.21303,6.3e-07,6.3e-07,6.3e-07
2,45.5717,1.69464,5.78139,1.3764,0,0,0,0,1.64023,5.71091,1.2113,1.85258e-06,1.85258e-06,1.85258e-06
3,50.3369,1.72484,5.78359,1.41914,0,0,0,0,1.62995,5.71133,1.20755,3.02526e-06,3.02526e-06,3.02526e-06
4,54.9754,1.70762,5.82937,1.37556,0,0,0,0,1.61967,5.71235,1.20733,4.14805e-06,4.14805e-06,4.14805e-06
5,59.7731,1.74411,5.8163,1.38347,0,0,0,0,1.61022,5.71159,1.20315,5.22094e-06,5.22094e-06,5.22094e-06
6,64.341,1.68663,5.80198,1.38369,0,0,0,0,1.59698,5.71013,1.1982,6.24393e-06,6.24393e-06,6.24393e-06
7,69.1964,1.59542,5.71736,1.35534,0,0,0,0,1.5858,5.70587,1.19139,7.21703e-06,7.21703e-06,7.21703e-06
8,73.8767,1.68744,5.77777,1.3954,0,0,0,0,1.57663,5.70327,1.18533,8.14023e-06,8.14023e-06,8.14023e-06
9,78.5271,1.63226,5.76347,1.33636,0,0,0,0,1.56897,5.70137,1.18129,9.01354e-06,9.01354e-06,9.01354e-06
10,82.8986,1.64406,5.72091,1.33019,0,0,0,0,1.55795,5.70124,1.1779,9.83695e-06,9.83695e-06,9.83695e-06
11,88.0156,1.73455,5.76198,1.3851,0,0,0,0,1.5498,5.70123,1.17518,1.06105e-05,1.06105e-05,1.06105e-05
12,92.959,1.67537,5.77181,1.3348,0,0,0,0,1.54113,5.70191,1.17079,1.13341e-05,1.13341e-05,1.13341e-05
13,97.9925,1.64855,5.76931,1.32117,0,0,0,0,1.52949,5.70052,1.16647,1.20078e-05,1.20078e-05,1.20078e-05
14,103.325,1.65186,5.74765,1.34167,0,0,0,0,1.51821,5.70173,1.16447,1.26316e-05,1.26316e-05,1.26316e-05
15,110.214,1.6615,5.71316,1.32014,0,0,0,0,1.50936,5.70088,1.16038,1.32056e-05,1.32056e-05,1.32056e-05
16,117.642,1.72597,5.76692,1.35668,0,0,0,0,1.50078,5.70077,1.15691,1.37296e-05,1.37296e-05,1.37296e-05
17,122.445,1.61239,5.70082,1.32684,0,0,0,0,1.49373,5.69755,1.15309,1.42037e-05,1.42037e-05,1.42037e-05
18,127.6,1.61671,5.69724,1.35072,0,0,0,0,1.48515,5.69766,1.14919,1.4628e-05,1.4628e-05,1.4628e-05
19,133.113,1.62657,5.70463,1.30883,0,0,0,0,1.4804,5.69324,1.14518,1.50023e-05,1.50023e-05,1.50023e-05
20,139.299,1.62317,5.70238,1.31087,0,0,0,0,1.47433,5.68909,1.14169,1.53268e-05,1.53268e-05,1.53268e-05
21,144.694,1.57436,5.63586,1.27678,0,0,0,0,1.46756,5.68647,1.13755,1.56013e-05,1.56013e-05,1.56013e-05
22,151.198,1.55448,5.65917,1.27386,0,0,0,0,1.46209,5.68267,1.13285,1.5826e-05,1.5826e-05,1.5826e-05
23,158.163,1.64722,5.72856,1.28714,0,0,0,0,1.45559,5.67887,1.12852,1.60007e-05,1.60007e-05,1.60007e-05
24,164.102,1.56227,5.69377,1.27453,0,0,0,0,1.44715,5.67445,1.12468,1.61256e-05,1.61256e-05,1.61256e-05
25,171.404,1.62515,5.69808,1.28309,0,0,0,0,1.44361,5.67094,1.12192,1.62006e-05,1.62006e-05,1.62006e-05
26,178.491,1.6086,5.65103,1.24738,0,0,0,0,1.43986,5.6672,1.11954,1.62256e-05,1.62256e-05,1.62256e-05
27,186.051,1.56656,5.599,1.25285,0,0,0,0,1.43694,5.66059,1.11598,1.62008e-05,1.62008e-05,1.62008e-05
28,192.383,1.62094,5.65462,1.27417,0,0,0,0,1.43694,5.66059,1.11598,1.61261e-05,1.61261e-05,1.61261e-05
29,198.708,1.59231,5.6314,1.27689,0,0,0,0,1.43144,5.65597,1.11406,1.60015e-05,1.60015e-05,1.60015e-05
30,205.225,1.61953,5.65058,1.29788,0,0,0,0,1.42504,5.64981,1.11116,1.5827e-05,1.5827e-05,1.5827e-05
31,211.428,1.51852,5.57393,1.23002,0,0,0,0,1.42504,5.64981,1.11116,1.56026e-05,1.56026e-05,1.56026e-05
32,217.521,1.53474,5.53203,1.20877,0,0,0,0,1.42049,5.64219,1.10871,1.53283e-05,1.53283e-05,1.53283e-05
33,223.826,1.52418,5.54394,1.27347,0,0,0,0,1.41729,5.63198,1.10432,1.50041e-05,1.50041e-05,1.50041e-05
34,231.318,1.60091,5.57727,1.25176,0,0,0,0,1.41729,5.63198,1.10432,1.463e-05,1.463e-05,1.463e-05
35,237.897,1.48357,5.5063,1.19679,0,0,0,0,1.41281,5.62432,1.10152,1.4206e-05,1.4206e-05,1.4206e-05
36,245.573,1.47612,5.48481,1.2012,0,0,0,0,1.41037,5.61384,1.09897,1.37321e-05,1.37321e-05,1.37321e-05
37,252.097,1.54475,5.52224,1.22084,0,0,0,0,1.41037,5.61384,1.09897,1.32083e-05,1.32083e-05,1.32083e-05
38,258.384,1.57242,5.57567,1.23197,0,0,0,0,1.40748,5.60609,1.09848,1.26347e-05,1.26347e-05,1.26347e-05
39,265.094,1.51986,5.51527,1.22023,0,0,0,0,1.40498,5.59974,1.09792,1.20111e-05,1.20111e-05,1.20111e-05
40,272.12,1.65353,5.62704,1.23383,0,0,0,0,1.40498,5.59974,1.09792,1.13376e-05,1.13376e-05,1.13376e-05
41,278.88,1.57959,5.42766,1.18589,0,0,0,0,1.40395,5.58927,1.09664,1.06142e-05,1.06142e-05,1.06142e-05
42,285.238,1.56938,5.39411,1.18728,0,0,0,0,1.40577,5.57238,1.09378,9.84098e-06,9.84098e-06,9.84098e-06
43,292.178,1.62166,5.42059,1.17136,0,0,0,0,1.40577,5.57238,1.09378,9.01782e-06,9.01782e-06,9.01782e-06
44,300.476,1.47365,5.36961,1.15757,0,0,0,0,1.41428,5.55346,1.09362,8.14477e-06,8.14477e-06,8.14477e-06
45,306.873,1.43942,5.36195,1.14217,0,0,0,0,1.41428,5.55346,1.09362,7.22182e-06,7.22182e-06,7.22182e-06
46,314.262,1.49398,5.38047,1.17491,0,0,0,0,1.41797,5.53527,1.09097,6.24897e-06,6.24897e-06,6.24897e-06
47,320.672,1.51771,5.38375,1.14739,0,0,0,0,1.41797,5.53527,1.09097,5.22623e-06,5.22623e-06,5.22623e-06
48,328.053,1.45148,5.3799,1.14467,0,0,0,0,1.41935,5.52013,1.08883,4.15359e-06,4.15359e-06,4.15359e-06
49,334.539,1.51568,5.39406,1.14109,0,0,0,0,1.41935,5.52013,1.08883,3.03106e-06,3.03106e-06,3.03106e-06
50,340.575,1.40245,5.34385,1.14261,0,0,0,0,1.42351,5.50733,1.09036,1.85863e-06,1.85863e-06,1.85863e-06
